identifier	cluster
nn_nrhz258_1849-94-12	-1
vogt_briefe02_1851-3388-33	0
avelallemant_gaunerthum04_1862-18550-46	-1
avelallemant_gaunerthum04_1862-16427-25	1
brehm_thierleben01_1864-2353-13	0
avelallemant_gaunerthum02_1858-1010-15	1
gerstner_mechanik01_1831-10827-9	0
gerstner_mechanik01_1831-9106-2	0
parthey_jugenderinnerungen01_1871-367-12	0
gerstner_mechanik01_1831-9106-28	0
avelallemant_gaunerthum02_1858-1638-28	1
urbanitzky_electricitaet_1885-7795-20	-1
beck_eisen02_1895-12385-1	0
avelallemant_gaunerthum02_1858-1021-56	1
immermann_muenchhausen03_1839-2141-25	0
gerstner_mechanik01_1831-11038-1	0
vogt_briefe02_1851-5243-10	0
gerstner_mechanik01_1831-10936-6	-1
steub_tirol_1846-5806-8	-1
avelallemant_gaunerthum04_1862-16427-6	1
vogt_briefe02_1851-3390-14	0
avelallemant_gaunerthum02_1858-1635-5	1
2532889X_1985-05-25_01_277.tcf.xml-13-21	1
26120215_1976_12_07_01_213.tcf.xml-15-110	0
2532889X_1990-09-15_01_399.tcf.xml-19-33	0
26120215_1946_09_20_01_181.tcf.xml-24-23	1
26120215_1980_03_29_01_433.tcf.xml-41-6	0
2532889X_1960-02-21_01_094.tcf.xml-7-6	1
26120215_1968_01_25_01_140.tcf.xml-36-9	1
26120215_1951_12_21_01_143.tcf.xml-18-2	1
2532889X_1956-09-01_01_145.tcf.xml-21-17	0
26120215_1956_03_07_01_124.tcf.xml-19-25	1
26120215_1953_07_04_01_200.tcf.xml-33-6	1
2532889X_1946-05-05_01_048.tcf.xml-6-7	1
26120215_1973_03_03_01_254.tcf.xml-22-6	1
26120215_1953_04_18_01_166.tcf.xml-6-18	1
2532889X_1986-04-22_01_216.tcf.xml-2-120	1
2532889X_1969-10-26_01_058.tcf.xml-3-8	2
2532889X_1966-04-17_01_056.tcf.xml-4-20	2
2532889X_1980-05-03_01_425.tcf.xml-1-11	2
2532889X_1964-03-12_01_145.tcf.xml-165-4	0
26120215_1952_03_01_01_037.tcf.xml-17-21	2
26120215_1988_12_16_01_122.tcf.xml-28-31	2
2532889X_1990-03-31_01_303.tcf.xml-8-16	0
26120215_1947_07_05_01_041.tcf.xml-3-25	2
26120215_1989_01_04_01_101.tcf.xml-7-12	1
2532889X_1960-08-12_01_026.tcf.xml-7-7	1
26120215_1977_11_17_01_166.tcf.xml-14-12	0
26120215_1950_08_11_01_489.tcf.xml-2-22	-1
2532889X_1953-05-22_01_048.tcf.xml-49-11	0
26120215_1965_01_28_01_054.tcf.xml-9-13	0
2532889X_1949-10-12_01_084.tcf.xml-6-13	0
2532889X_1952-11-09_01_140.tcf.xml-38-6	1
2532889X_1947-02-11_01_170.tcf.xml-47-5	1
26120215_1986_08_15_01_069.tcf.xml-15-21	-1
26120215_1953_06_04_01_165.tcf.xml-3-0	1
2532889X_1980-08-06_01_070.tcf.xml-9-9	3
2532889X_1946-10-09_01_083.tcf.xml-22-23	1
2532889X_1983-07-05_01_061.tcf.xml-8-26	-1
26120215_1953_11_01_02_360.tcf.xml-46-16	0
26120215_1949_03_24_01_039.tcf.xml-31-3	-1
26120215_1948_04_15_01_042.tcf.xml-2-20	2
26120215_1986_02_18_01_174.tcf.xml-15-23	1
26120215_1975_07_28_01_044.tcf.xml-41-16	0
26120215_1956_04_25_01_259.tcf.xml-18-5	1
2532889X_1955-12-21_01_038.tcf.xml-15-10	0
26120215_1948_03_25_01_087.tcf.xml-32-5	0
26120215_1954_12_05_02_070.tcf.xml-49-2	1
26120215_1952_02_24_01_227.tcf.xml-6-2	0
26120215_1986_04_22_01_164.tcf.xml-2-49	1
26120215_1959_04_08_01_090.tcf.xml-132-15	0
26120215_1990_12_12_01_577.tcf.xml-2-6	-1
26120215_1975_06_19_01_117.tcf.xml-25-17	0
2532889X_1948-04-04_01_171.tcf.xml-0-8	1
26120215_1950_04_22_01_405.tcf.xml-14-12	1
26120215_1985_10_03_01_252.tcf.xml-13-60	2
26120215_1966_08_10_01_458.tcf.xml-9-6	-1
26120215_1971_04_25_01_074.tcf.xml-13-9	1
26120215_1956_04_19_01_251.tcf.xml-18-10	1
26120215_1966_10_30_01_098.tcf.xml-9-39	-1
26120215_1960_02_28_01_505.tcf.xml-41-6	1
26120215_1966_10_01_01_183.tcf.xml-60-8	6
2532889X_1952-09-05_01_058.tcf.xml-29-8	0
26120215_1956_12_16_02_189.tcf.xml-4-17	1
2532889X_1960-09-03_01_100.tcf.xml-19-3	1
26120215_1975_11_18_01_266.tcf.xml-7-257	1
2532889X_1982-07-13_01_068.tcf.xml-22-16	2
26120215_1960_11_20_01_303.tcf.xml-51-5	0
26120215_1964_01_07_01_139.tcf.xml-11-24	1
26120215_1964_10_27_01_189.tcf.xml-6-12	1
26120215_1951_06_17_01_026.tcf.xml-22-7	2
26120215_1950_05_05_01_054.tcf.xml-17-29	0
26120215_1964_04_25_01_032.tcf.xml-1-10	1
26120215_1968_01_25_01_140.tcf.xml-61-5	1
2532889X_1951-10-13_01_064.tcf.xml-8-24	0
26120215_1967_06_30_01_090.tcf.xml-29-32	1
2532889X_1976-02-14_01_383.tcf.xml-40-1	-1
2532889X_1962-06-09_01_129.tcf.xml-37-27	0
2532889X_1964-10-03_01_142.tcf.xml-19-8	1
2532889X_1948-03-25_01_064.tcf.xml-33-25	1
26120215_1976_12_15_01_157.tcf.xml-4-29	0
2532889X_1964-07-11_01_119.tcf.xml-25-16	0
2532889X_1966-10-02_01_199.tcf.xml-23-10	-1
2532889X_1987-06-27_01_162.tcf.xml-5-18	0
26120215_1966_03_22_01_026.tcf.xml-4-5	-1
26120215_1946_10_20_01_158.tcf.xml-36-21	4
2532889X_1956-03-29_01_132.tcf.xml-11-1	-1
2532889X_1964-10-20_01_024.tcf.xml-13-20	1
26120215_1950_02_07_01_232.tcf.xml-11-5	1
26120215_1946_09_03_01_133.tcf.xml-13-22	1
2532889X_1958-04-15_01_080.tcf.xml-16-21	0
2532889X_1956-12-09_01_069.tcf.xml-15-35	0
26120215_1952_03_07_01_076.tcf.xml-60-18	0
26120215_1989_09_21_01_306.tcf.xml-333-16	-1
26120215_1961_09_12_01_034.tcf.xml-24-6	2
26120215_1961_08_18_01_282.tcf.xml-28-13	1
2532889X_1964-03-29_01_012.tcf.xml-16-7	2
26120215_1956_04_15_02_144.tcf.xml-21-2	2
26120215_1946_04_27_01_017.tcf.xml-7-6	1
26120215_1977_10_29_01_174.tcf.xml-12-1	-1
26120215_1957_02_20_01_210.tcf.xml-3-2	2
2532889X_1964-12-03_01_195.tcf.xml-23-18	1
