identifier	cluster
grimm_maerchen02_1850-3135-73	1
immermann_muenchhausen01_1838-1857-8	1
brehm_thierleben03_1866-3327-21	0
beck_eisen02_1895-7571-1	0
2532889X_1975-03-05_01_128.tcf.xml-16-23	3
2532889X_1958-12-25_01_356.tcf.xml-37-25	1
2532889X_1969-02-14_01_122.tcf.xml-9-40	1
2532889X_1986-07-15_01_119.tcf.xml-13-5	2
26120215_1972_11_03_01_177.tcf.xml-40-59	2
26120215_1973_08_16_01_029.tcf.xml-2-31	2
2532889X_1967-11-10_01_145.tcf.xml-6-56	2
2532889X_1987-12-02_01_100.tcf.xml-35-10	2
26120215_1983_08_15_01_157.tcf.xml-6-4	0
2532889X_1963-08-24_01_136.tcf.xml-124-16	2
26120215_1961_04_09_01_415.tcf.xml-17-7	4
2532889X_1959-06-24_01_096.tcf.xml-61-1	1
2532889X_1977-06-15_01_216.tcf.xml-10-6	0
2532889X_1970-09-19_01_372.tcf.xml-194-5	0
26120215_1989_01_10_01_093.tcf.xml-30-6	1
26120215_1981_04_30_01_253.tcf.xml-2-20	-1
26120215_1972_11_19_01_125.tcf.xml-20-8	0
26120215_1978_03_17_01_193.tcf.xml-10-3	2
2532889X_1956-10-27_01_038.tcf.xml-49-12	0
26120215_1979_12_27_01_295.tcf.xml-65-19	2
26120215_1983_01_27_01_212.tcf.xml-35-7	1
26120215_1952_09_26_01_041.tcf.xml-3-1	0
2532889X_1976-06-29_01_109.tcf.xml-7-30	1
2532889X_1967-02-26_01_030.tcf.xml-16-11	0
26120215_1963_07_26_01_294.tcf.xml-9-1	3
26120215_1981_08_22_01_108.tcf.xml-91-36	7
2532889X_1984-07-14_01_126.tcf.xml-159-9	5
2532889X_1960-06-08_01_035.tcf.xml-29-19	2
26120215_1972_10_05_01_152.tcf.xml-4-16	-1
2532889X_1971-02-04_01_156.tcf.xml-10-38	1
2532889X_1948-12-28_01_044.tcf.xml-63-19	2
2532889X_1958-06-03_01_090.tcf.xml-4-12	1
26120215_1971_07_04_01_404.tcf.xml-16-15	2
2532889X_1952-05-15_01_036.tcf.xml-71-10	1
26120215_1955_08_23_01_041.tcf.xml-1-2	4
2532889X_1960-07-10_01_107.tcf.xml-23-2	10
26120215_1965_06_08_01_131.tcf.xml-90-1	0
26120215_1960_12_28_01_106.tcf.xml-23-21	2
26120215_1951_10_11_01_176.tcf.xml-12-11	0
26120215_1977_04_22_01_190.tcf.xml-175-4	-1
2532889X_1963-07-21_01_154.tcf.xml-1-3	7
2532889X_1967-04-12_01_151.tcf.xml-2-17	2
2532889X_1975-09-20_01_181.tcf.xml-6-2	2
26120215_1965_10_10_01_398.tcf.xml-28-10	2
26120215_1979_05_26_01_334.tcf.xml-3-23	0
26120215_1988_08_08_01_113.tcf.xml-13-2	0
26120215_1974_08_18_01_333.tcf.xml-30-23	2
26120215_1956_02_29_01_004.tcf.xml-18-6	0
2532889X_1982-05-17_01_187.tcf.xml-25-12	2
2532889X_1968-12-30_01_144.tcf.xml-1-3	2
26120215_1946_10_17_01_032.tcf.xml-14-16	2
26120215_1957_11_13_01_204.tcf.xml-19-4	2
26120215_1983_04_02_01_116.tcf.xml-58-5	2
2532889X_1973-05-26_01_177.tcf.xml-23-91	2
26120215_1947_09_28_01_019.tcf.xml-16-32	3
2532889X_1981-01-31_01_138.tcf.xml-94-19	5
2532889X_1984-03-17_01_322.tcf.xml-7-6	1
26120215_1971_11_16_01_287.tcf.xml-31-9	0
2532889X_1957-10-25_01_016.tcf.xml-7-30	1
26120215_1961_10_29_01_162.tcf.xml-47-28	3
2532889X_1959-03-25_01_085.tcf.xml-14-5	0
2532889X_1979-11-24_01_161.tcf.xml-9-19	2
2532889X_1980-09-06_01_222.tcf.xml-8-11	2
2532889X_1951-12-20_01_089.tcf.xml-1-62	11
2532889X_1947-07-22_01_135.tcf.xml-13-2	1
26120215_1968_05_23_01_045.tcf.xml-16-13	0
26120215_1989_05_05_01_171.tcf.xml-12-16	5
26120215_1959_07_18_01_184.tcf.xml-17-31	12
26120215_1953_03_22_01_033.tcf.xml-48-1	3
2532889X_1962-07-27_01_128.tcf.xml-21-12	3
2532889X_1950-07-04_01_099.tcf.xml-5-26	0
2532889X_1948-01-04_01_041.tcf.xml-68-13	0
2532889X_1970-12-22_01_103.tcf.xml-16-22	0
2532889X_1966-07-31_01_255.tcf.xml-18-1	0
2532889X_1981-12-21_01_037.tcf.xml-2-36	1
2532889X_1968-09-30_01_074.tcf.xml-75-0	2
26120215_1968_09_15_01_158.tcf.xml-2-20	2
26120215_1960_05_11_01_125.tcf.xml-33-10	2
2532889X_1953-03-22_01_055.tcf.xml-34-25	0
26120215_1965_07_01_01_180.tcf.xml-21-1	0
26120215_1974_12_11_01_236.tcf.xml-4-9	1
2532889X_1947-03-02_01_050.tcf.xml-28-23	1
26120215_1960_02_04_01_251.tcf.xml-50-1	0
26120215_1952_01_10_01_133.tcf.xml-47-6	1
2532889X_1990-05-26_01_082.tcf.xml-69-19	13
26120215_1965_05_23_01_154.tcf.xml-43-10	1
2532889X_1965-02-28_01_177.tcf.xml-13-26	0
2532889X_1947-03-08_01_058.tcf.xml-22-1	0
2532889X_1949-12-18_01_043.tcf.xml-10-4	2
2532889X_1960-07-18_01_060.tcf.xml-11-40	2
26120215_1965_02_21_01_033.tcf.xml-5-6	2
2532889X_1965-12-14_01_170.tcf.xml-69-10	2
2532889X_1971-02-01_01_131.tcf.xml-11-1	0
26120215_1963_02_26_01_038.tcf.xml-2-15	14
26120215_1965_04_09_01_070.tcf.xml-13-6	2
2532889X_1990-09-13_01_217.tcf.xml-23-4	3
26120215_1961_01_22_01_253.tcf.xml-10-20	0
2532889X_1983-07-09_01_079.tcf.xml-21-6	2
26120215_1957_04_05_01_107.tcf.xml-27-4	0
2532889X_1963-03-07_01_039.tcf.xml-15-3	0
