lemma	pos	indexes	preceding_sentences	sentences	following_sentences	dates	filenames	identifiers	descriptions
sierra	nfs	22	se a alternativas más ergonómicas, como el teclado Dvorak, debido a su popularización. Diagrama Armado Corta del tablero de contrachapado los 2 laterales largos (LateralL) y con un router realiza los rebajes como se indican en el diagrama.	Corta los 2 laterales cortos (LateralC) como se muestra en el diagrama y realiza una perforación en el punto señalado con una sierra copa (sierra de corona) donde encastrará la manija.	Corta la base con las medidas indicadas en el diagrama. Lija todas las partes con una lija de grano medio a fino (de 120 a 180) Usando el adhesivo de montaje o el adhesivo epoxi (preferentemente este último ya que es más fuerte) une los laterales y la base; asegúralo con	1	cu-b-0.txt	control_11	[CU] Cuba
sierra	nfs    	47	un soldado del bando cristino es fusilado por su propio hijo, que milita en el bando carlista.	Esta ejecución encubre un conflicto interno que los protagonistas nos van desvelando a lo largo de esta novela, que transcurre desde que el general salió de Pamplona en un amanecer lluvioso hasta su muerte en el palacio de Vargas de Begoña en Bilbao, tras luchar en la sierra de Urbasa, en la batalla de Viana y en las múltiples escaramuzas de guerrilla que tuvieron lugar en tierras vascas y navarras.	Historia, intriga, espionaje, política y la psicología profunda de los personajes en conflicto nos sumergen de lleno en una de las guerras más crueles del siglo XIX. Se puede leer el primer capítulo y escuchar 3 fragmentos de la novela	0	es-b-0.txt	control_12	[ES] Spain
brazo	nms    	12	27.7.13 JUL144. RICARDO, de Rafa Heredero García Ricardo y yo llevábamos poco tiempo casados y él seguía enfadado con sus aristocráticos padres -me acusaban de ser una embustera, de haber engañado a su único hijo, de querer solo su dinero-, cuando un inoportuno accidente acabó con su vida.	Me sentí como esas personas a las que les han amputado un brazo o una pierna, pero a pesar de ello sienten un dolor sordo allí donde no hay más que ausencia, hasta que empecé a notar que él de verdad sí estaba conmigo.	Al principio me asusté, cuando veía que las puertas se abrían a mi paso (¡ siempre fue tan educado!), cuando la radio se encendía sola e invariablemente sonaba nuestra	0	es-b-0.txt	control_13	[ES] Spain
brazo	nmp    	31	con su entorno de otras maneras. LOS PULPOS Un pulpo que utiliza cáscaras de coco como armadura portátil es la última adición a una lista creciente de usuarios de las herramientas en el reino animal.	El pulpo veteado aparentemente puede apilar las mitades de cáscara de coco que la gente descarta como uno podría pila de platos, se sienta encima de ellos, hace que sus ocho brazos rígidos como zancos, y deambula todo el montón en el fondo marino, su uso para la vivienda más tarde, cuando sea necesario.	Estos nuevos resultados son al parecer el primer caso reportado de un invertebrado que adquiere las herramientas para su uso posterior. miércoles, 15 de junio de 2011 Tanto en los libros de historia de las escuelas se presentan imágenes	0	es-b-0.txt	control_14	[ES] Spain
brazo	nms    	16	construida en el piso superior, - ¡sobre un colchón de palabras! - le dijimos por la noche. La biblioteca, le acogió silenciosa, vigilante, mientras caminaba en dirección a la mesa de José Saramago, aquella en la que escribió Caín y El viaje del elefante.	El bebé tendió la mano y la pasó suavemente por la manta que hay sobre el brazo de la silla de José.	Por allí, correteando, le hice algunas fotos. El bebé se cuela correteando en la biblioteca de Saramago y de Pilar del Río. En la silla que se ve a el fondo escribió El viaje del elefante Pilar del Río nos invitó a pasar unos días en Lanzarote. Allí, sobre la casa que da cobijo a	0	es-b-0.txt	control_15	[ES] Spain
brazo	nmp    	6	en lo que va de torneo y a el borde de un papelón histórico. En una noche donde Uruguay tuvo muchos héroes, destacamos primero a la tremenda labor del joven Mathias Calfani, autor de 10 puntos, 8 rebotes y 3 tapas, pero con un cierre de partido monumental, haciendo absolutamente de todo en ambos costados.	Su combinación de agilidad, determinación y brazos largos, lo hacen una pesadilla en el costado defensivo.	Sin dudas, uno de los mejores proyectos de internos que tiene sudamérica. Esteban Batista dominó temprano en el partido y estableció las primeras ventajas para la Celeste. Luego se cansó y aflojó bastante, pero igual acabó con 22 puntos y 13 rebotes. Más que bienvenido el regreso de Batista a este nivel de	0	es-b-0.txt	control_16	[ES] Spain
aeroplano	nms    	11	deudas. Franklin se encarga del trabajo sucio y no dudará en ir a por los morosos para cumplir con su cometido. Se ha pasado media vida al volante de auténticos cochazos, lo que le ha convertido en un conductor de primera a quien le apasiona la velocidad y las descargas de adrenalina.	A Franklin no es difícil verle a punto de pilotar cualquier aeroplano con el que surcar el cielo infinito de la ciudad de Los Santos.	Trevor es el claro ejemplo de bala pérdida. Otrora compañero de fechorías de Michael, la vida de Trevor no se asemeja en nada con la de su antiguo camarada. A kilómetros de la ciudad y confinado en una caravana junto al lago Alamo Sea, el alcohol y las drogas son	0	es-b-2.txt	control_17	[ES] Spain
avión	nms    	4	2012 En lo bueno y en lo malo - Carole Matthews Josie es una mujer que no ha tenido mucha suerte en su matrimonio. Su marido un buen día decidió liarse con otra y cogió repentinamente las maletas y se marchó de casa. Pero ahora ha cambiado de idea y pretende que Josie vuelva a hacerle un hueco en su vida.	En el viaje en avión desde Londres a Nueva York donde se dirige para asistir a la boda de su prima Martha conoce a Matt, un periodista musical que le inspira mucha confianza.  	A pesar del desengaño amoroso que acaba de sufrir no duda en poner ciertas esperanzas cuando este hombre le pide una cita. Claro que las apariencias engañan porque este hombre le da un sonoro plantón la noche antes	0	es-b-0.txt	control_18	[ES] Spain
tomar	vr	29	porque son perjudiciales para la parte intestinal del bebé porque no tiene todos los órganos maduros. Entonces, todas esas cosas las tiene que tomar la mamá y el bebé sólo tiene que tomar teta.	La primera leche que sale es una leche que tiene mucho contenido en agua, que es la que calma la sed del bebé, por eso el bebé no necesita tomar agua.	Si ese bebé sigue mamando de esa teta, va a sacar de esa leche materna las grasas y los nutrientes que necesita. Por eso decimos que los seis primeros meses son de lactancia exclusiva y después es lactancia más los alimentos indicados por el pediatra. Consultada sobre hasta cuándo es recomendable la lactancia materna, la licenciada expresó: La Organización Mundial de la	3	ar-b-4.txt	control_19	[AR] Argentina
beber	vr	8	La piel es el órgano más grande que tenemos y además está expuesta a cientos de agresiones por lo que hay que protegerla desde fuera con unos buenos protectores solares y cremas hidratantes, pero el verdadero cuidado procede del interior.	La hidratación es fundamental por eso hay que beber agua o zumos de frutas o verduras para que tenga la suficiente agua.	Los nutrientes que son esenciales para la buena salud de la piel son: Beta caroteno: es el precursor de la vitamina A. Uno de los alimentos más ricos en ella es la zanahoria. Pero también hay caroteno en la calabaza, el mango, o el tomate, cerezas, melocotón o	0	es-b-0.txt	control_20	[ES] Spain
mecedora	nfs    	35	el nivel óptimo de funcionamiento en el discurrir de una vida llena de contratiempos que los descabalan. Tras casi cuatro horas de conversación fructuosa. . .	me retiro al que considero el rincón de pensar más idóneo, una casa que parece querer aproximarse a las de nuestras queridas abuelas, acogedoras, cálidas, llenas de recuerdos, con olor a leña y con una mecedora en la que columpiar los planes, los proyectos, los propósitos, las intenciones, las reflexiones y los razonamiento.	... a la sombra de un árbol o a la vera de un costurero. La chimenea, la cocina, la cama con los barrotes en dorado envejecido y negro. . . todo es realmente bonito. Gracias por vuestros comentarios a las dos	0	es-b-3.txt	control_21	[ES] Spain
silla	nfs    	11	septiembre de 2010 se realizó un chequeo en los alrededores de centros infantiles como guarderías, para comprobar la situación real. Los resultados de la recogida de datos muestran que aunque la mayoría de los niños ocupaban habitualmente las plazas traseras, sólo un 6,1% utilizaba la plaza del medio, la más segura.	Se observó también que el 90% de los encuestados utilizaba una silla con homologación válida, pero en muchos casos la silla no estaba debidamente sujeta al vehículo o los niños no estaban debidamente abrochados, ya que tenían los arneses demasiado flojos como para servir de retención en caso de accidentes.	Como consecuencia de todo ello, se llevó a cabo una campaña de apoyo a base de carteles informativos que se colocaron en toda la ciudad y	0	es-b-1.txt	control_22	[ES] Spain
comer	vr	12	no volver a ganar el peso perdido son mayores. La capacidad de la acupuntura para reducir la sensación de apetito hace que la pérdida de peso resulte cómoda y que la persona no se sienta mortificada por el hecho de pasar hambre. Adelgazar es más fácil si se sigue terapia con acupuntura para adelgazar.	Alimentos que nutren la mente la naturaleza nos los ofrece en abundancia Comer sanamente puede ayudarnos a prevenir un infarto y aún el cáncer, ¿pero permite también conservar la lucidez?	Por asombroso que parezca, cada vez hay más pruebas de que los mismos procesos que obstruyen las arterias coronarias y causan alteraciones cancerosas en las células pueden dañar la delicada red de comunicaciones del cerebro. Dios sabía lo que hacía cuando creó las frutas	1	cu-b-0.txt	control_23	[CU] Cuba
almorzar	vr	9	y caiga donde caiga me pasaré por tus tierras a tomar nos unas ¿pintas? aunq yo soy mas de whisky, si es bueno sin hielo, movido, no agitado con una filigrana de limón ;) Yo no para, la verdad y estoy muy contento. . . . . muchas horas pero mucho dinero.	No hay día que me siente a desayunar o almorzar con las tripulaciones de los barcos.	. . . Ahora estoy con el polaco dándole duro. Es muy importante para mi trabajo al igual que el portugués, pero este lo dominó muy bien y cada día mejor. La semana pasada tuve un problema grave con un compañero. . . mejor dicho el supervisor y me calenté. . . . .	0	es-b-0.txt	control_24	[ES] Spain
peluche	nms    	3	ahora tendría otros dolores, pobre mi preocupación, le creo otros dolores. La corrida para comprarle la canasta, y un almohadón cómodo donde descansar, pero como no encontraba uno que me gustara, termine encontrándole a un amigo que hasta el día de hoy la acompaña, un oso de peluche gris enorme sobre el que le encantaba dormir.	El canasto, el peluche, los huesitos para jugar, si a veces la casa tenía juguetes de mi cómplice canina por todos lados.	La vaca la pobre vaca que termino destrozada una mañana. Los cursos los sábados para acostumbrarla a portarse correctamente, y aprendió a una velocidad que me sorprendió. Luego la	0	es-b-0.txt	control_25	[ES] Spain
animal	nms    	7	concedida se desmienta, otorgar directamente la opuesta. Es decir: no me muerde, luego es mi amigo. Pero cuando me muerda, y es probable que suceda, ya no es mi amigo, luego será mi enemigo. . . Totalmente de acuerdo también con José L. Castillo, salvo en la parte de enemigos.	En la naturaleza, excepto el hombre, ningún animal tiene enemigos fuera de su manada (a parte de posibles rivales), y menos fuera de su especie.	Los animales tienen depredadores, con los que en determinados momentos pueden incluso compartir una charca para beber (hay documentales sobre esto). El post, muy bueno, si señor. Pero no olvidarse de que aunque no sean realment los mas fieros,	0	es-b-0.txt	control_26	[ES] Spain
pelota	nms    	16	siempre digo que soy muy torpe con el cuerpo. En motricidad voy bastante mal y los juegos de pelota siempre han sido los peores para mí, porque en los otros puedo disimular un poco o, con el tiempo, aprender. Pero con los de pelota no puedo.	Con Notxa, los miércoles antes de empezar la clase, siempre hacemos un poco de juego de pelota que consiste en ir tocándola con pases aleatorios sin que la pelota toque el suelo.	Si la pelota toca el suelo, entonces perdemos. Siempre hacemos la de prueba y luego la de verdad. Notxa siempre nos dice que hay que ir superando el récord que tengamos para ver a cuánto hemos llegado a final de curso. El miércoles también lo hicimos. En	0	es-b-0.txt	control_27	[ES] Spain
canica	nfp    	10	nota, les pedí a algunos amigos que me ayudarán respondiendo a la pregunta ¿Cuál es el juguete más de moda entre los niños?. Debo confesar que esperaba respuestas como legos, carros a control remoto o paletas de tennis, pero he podido comprobar que mis ideas están un tanto lejos de la realidad.	Los niños de ahora ya no quieren carritos, trompos o canicas;	estos juegos para infantes han sido reemplazados por palabras extranjeras como Xbox Slim o Nintendo Wii, aparatos diseñados para el entretenimiento de pequeños que suponen una tecnología cada vez más sorprendente. A continuación un resumen de los mejores juguetes para niños. Xbox Slim 360 Es lo último en la industria del videojuego, posee las mimas características y funciones que el Play Station Station	4	pe-b-0.txt	control_28	[PE] Peru
bote	nms    	1	y no estar informada sobre el tema, el instinto me decía que algo no cuadraba ¿Cómo mi cuerpo de repente va a dejar de producir? No era lógico. Aún así, compré un bote de Leche de fórmula (por si acaso) y me puse en contacto con TODAS las asociaciones de lactancia de España, les expuse mi caso y esperé respuesta.	El bote de leche de fórmula sólo sirvió para acumular polvo en la despensa y meses después lo tiré entero.	Lo único que estaba ocurriendo es que estábamos atravesando un brote de crecimiento, el cual, se fue igual que vino, con mucha teta. A los 4 meses mi pediatra me instó a darle biberón de fórmula antes de dormir, porque según él, despertar	0	es-b-0.txt	control_29	[ES] Spain
barco	nmp    	34	arremangarse la camisa y construir una trama que me ha sorprendido por la mezcla de géneros, muy lograda y que convierten a esta novela en una excelente elección.	Lo que comienza como una novela de aventuras en toda regla, en una línea muy similar a las aventuras de Dirk Pitt o incluso del inefable Robert Langdon, con buscadores de tesoros, enigmas históricos, barcos hundidos, empresarios sin escrúpulos, leyendas de piratas y secretos de la Iglesia - en este caso por parte de los Jesuitas-, se trasforma página a página en una novela de terror apocalíptica, donde los muertos se levantarán de sus tumbas para devorar la carne de los vivos.	Zombies de verdad. No infectados. Aquí son cadáveres, algunos tras varios siglos	0	es-b-0.txt	control_30	[ES] Spain
pelota	nms    	17	de cupo o criterio de selección o prueba de selección? De entrada el proceso es laaaaaaaargo y pesado. Primero tendrías que buscar un departamento que tuviera una línea de formación-investigación que te interesara o proponer una. Después creo que ellos pueden elegir si sí o si no.	Por otra parte, para muchos profesores el doctorando es una carga, salvo que el tío sea un pelota en el sentido de que les caiga bien y que además investigue en su doctorado lo que les gusta.	: Pepito hace un trabajo sobre las libélulas verdes en un departamento de psicología de las libélulas verdes y la profesora es una eminencia en libélulas verdes. Del trabajo de su doctoranda además de ayudarle a publicar un nuevo artículo en la revista	0	es-b-0.txt	control_31	[ES] Spain
animal	nmp    	3	típica con la que Carlos y Jaume empiezan siempre sus vídeos. Como esta frase en los vídeos, cada domingo hacemos un repaso de todas las noticias que se nos han quedado en el tintero y esta semana el protagonismo es principalmente para Samsung y para la operación biquini de Umeox. ¡Vamos allá! Bienvenidos a todos a la sección de los domingos.	Los humanos somos animales de costumbres y en Andro4all no podía ser de otra manera.	Como cada semana, en Lo que el androide no vio haremos un breve repaso de alguna de las noticias que por un motivo u otro no hemos podido llegar a cubrir. Sin más dilación, ¡empecemos! Samsung regala un Galaxy S4 para aquellos que puedan mirarlo durante 60 minutos ¿Qué mejor	0	es-b-0.txt	control_32	[ES] Spain
ir	vsp-1/3s	4	? Para evitar un uso abusivo de algunos servicios que se proporcionan de forma gratuita en Internet, como el correo electrónico. Ya he escrito en otras ocasiones sobre este tema, como en el artículo ¿Captcha accesible? No. Hoy en día, los captchas suponen un grave problema de accesibilidad, ya que se suelen basar en pruebas visuales.	Desgraciadamente, no parece que vaya a mejorar la situación, ya que los nuevos tipos de captcha que se están desarrollando siguen utilizando pruebas visuales, como podemos ver en los siguientes ejemplos.	En la web They Make Apps, el captcha que emplean es una barra de desplazamiento que el usuario tiene que mover hasta cierta posición. Animal Captcha Test muestra una imagen distorsionada y el usuario tiene que introducir el	0	es-b-0.txt	control_33	[ES] Spain
valla	nfs    	11	prevenía de los peligros reales que la agreste naturaleza nos deparaba como especie. Cuando se siente miedo te pones alerta, te tensas, la química del cuerpo, en especial, la adrenalina, te prepara para reaccionar. Ante el enemigo se presentan actitudes diversas, todas ellas probadamente eficaces.	La primera es correr, escapar, subirte a un árbol, saltar la valla, hacerte el récord de los 1000 metros.	La segunda es enfrentar, crecerte, que tu voz y tu cuerpo denoten la persona fuerte que eres y lo poco inteligente que sería que alguien te atacara. Y finalmente, la tercera sería bloquearse, quedar en shock, hacerse el muerto, el escondido, el rendido, de forma que no	0	es-b-0.txt	control_34	[ES] Spain
comer	vip-3s	0	intelectual. Nace un comité, Leningrado. El futuro nació en octubre. Los pinos nuevos. La tierra combatiente, entre otros, supongo. Baile y política están muy relacionados. Ric, muchísimas gracias!, y sí, yo me ocupó del asunto. No puedo sino estar de acuerdo contigo, y claro que te creo. Carmen, ¡una metáfora de la represión	Come on!	También es muy cierto que la familia de Maya, judía, como Maya misma, fue siquitrillada, y si mal no recuerdo su padre murió o estuvo preso en un campo. Sufrieron, pero el establishment no se pudo pasar de ellos, por su intelligentzia, y los judíos del ballet se las arreglaron no sólo para sobrevivir sino para tratar de	1	cu-b-0.txt	control_35	[CU] Cuba
comer	vip-3s	10	a otros países donde sí existen exiliados cubanos que viven en condiciones de destierro. Martí, por ejemplo, anduvo caminando en New York, con los zapatos rotos y unos miles de dólares en sus bolsillos destinados a la causa cubana. Pero éste, era un verdadero exiliado que siempre pernoctó en su Isla.	Liborio, hay mucha gente que se ha quedado en Cuba, come de la libreta, tienen que ver la mesa redonda y no son del PCC, y sin embargo, sí les importa Cuba y todo lo que les ocurre, pero no pueden hacer nada.	Hay otros, las excepciones, que están en las cárceles por importarle demasiado la situación. Vaya, que las cosas no son tan maniqueas como aparentemente se ven	1	cu-b-0.txt	control_36	[CU] Cuba
niño	nmp	9	, aún más, repensar al sistema. El siglo XXI sigue anclado en el pasado y eso es grave, porque es un síntoma inequívoco del poco avance que hemos logrado como sociedades civilizadas. De continuar así, seguiremos tendiendo ciudadanos infelices e incompetentes para aportar al desarrollo humano propio y de sus semejantes.	Actualidad Pedagógica Día tras día, se niega a los niños el derecho de ser niños.	Los hechos que se burlan de ese derecho, imparten sus enseñanzas en la vida cotidiana. El mundo trata a los niños ricos como si fueran dinero, para que se acostumbren a actuar como el dinero actúa. El mundo trata a los niños pobres como si fueran basura, para que se conviertan en basura. Y a los de	0	es-b-0.txt	control_37	[ES] Spain
niño	nms	16	con: densidad osea capacidad pulmonar insuficiente desarrollo cardiaco el sistema inmunológico ¿Os parecen suficientes motivos para tratar a un niño con HGH? Seguro que a sus padres se la pelaba los problemas con la densidad osea o el sistema inmunológico que pudiera desarrollar su hijo de 11 años.	Seguro que lo único que querían era que llegara al 1,69 y asegurarse así que su niño de 11 años sería una megaestrella.	Esa fue la motivación de toda la familia durante dos años de pasarlas canutas buscando como financiar el tratamiento hasta que llegó al Barça, la posibilidad (siempre remotisima) de que su hijo llegara a crack. Felicidades, Iago. En el segundo cuarto casi me asustan, no deberían haber perdido tanta ventaja tan rápido,	0	es-b-0.txt	control_38	[ES] Spain
